name,kind,seed,n_symbols,offset,register_r,pair_00,pair_01,pair_10,pair_11,pair_((,pair_(),pair_)(,pair_))
b_bal_seed4,b_bal,4,64,4,0.3560454322629503,,,,,28.339318100279236,17.44255660493259,-15.57840796619213,-26.589706708517976
b_bal_seed5,b_bal,5,64,4,0.27724922683970316,,,,,25.080363369573238,15.314305210062043,-12.25738651608891,-27.325387821513896
b_bal_seed6,b_bal,6,64,4,0.32367672460695573,,,,,31.388420272107872,14.978663565928105,-6.4126861185479855,-46.87605843014055
b_bal_seed7,b_bal,7,64,4,0.02033101415886385,,,,,35.97527338603342,9.072453491648535,-22.569099892064056,-19.277665900509525
b_bal_seed8,b_bal,8,64,4,0.0456481140628135,,,,,35.538471720686665,5.508818770405476,-21.566693897272252,-16.808654376820737
b_bal_seed9,b_bal,9,64,4,0.12123599795620663,,,,,28.1301153234444,16.668493242695742,-16.189315325373048,-25.649079361876176
b_bal_seed10,b_bal,10,64,4,0.1525633889784291,,,,,35.22695787839933,17.264415943020815,-17.048765803199586,-34.44747736530971
b_bal_seed11,b_bal,11,64,4,0.22325018295406643,,,,,28.37214067600803,20.928349696568596,-16.96148829529018,-31.4133187579125
b_bal_seed12,b_bal,12,64,4,0.15218497965130895,,,,,33.15644744784899,13.1956915012184,-29.268451977671795,-20.74177990867607
b_bal_seed13,b_bal,13,64,4,0.3585600528293957,,,,,29.305100029522528,13.587494344455315,-27.45170538744514,-19.928848565381994
b_bal_seed14,b_bal,14,64,4,0.30157532104095236,,,,,36.780542801933656,17.49112734798196,-14.425533535598529,-39.79271674371232
b_bal_seed15,b_bal,15,64,4,0.30329332682750887,,,,,31.362614203275978,18.006734979085845,-13.978655062372914,-35.14475233474735
b_unbal_seed0,b_unbal,0,64,4,0.33583814492118846,,,,,30.51557964265366,20.689923995264124,-12.326938234703892,-33.414518723394565
b_unbal_seed1,b_unbal,1,64,4,0.18555701798297486,,,,,45.56564231301414,18.78465846059978,-11.30987078470111,-40.31925804394928
b_unbal_seed2,b_unbal,2,64,4,0.2694180525044295,,,,,31.311590259525342,25.798637346381483,-5.854323974791242,-17.760944708661416
b_unbal_seed3,b_unbal,3,64,4,0.3473916945059908,,,,,41.33924817159802,13.25880101262569,-16.227240517877455,-26.363561898235265
b_unbal_seed4,b_unbal,4,64,4,0.39234137863866525,,,,,40.765927529511295,29.583060263143306,-18.222720959914195,-40.26764939111009
b_unbal_seed5,b_unbal,5,64,4,0.12727322197082014,,,,,19.762111196110226,20.160005326605944,-16.39337563106883,-40.66760243837747
b_unbal_seed6,b_unbal,6,64,4,0.37039596144084425,,,,,26.45092440058953,26.050278872863935,-14.051441382606933,-33.25170019651223
b_unbal_seed7,b_unbal,7,64,4,0.19604819761156628,,,,,25.095001499884283,9.777602258980377,-33.083312226164786,-23.110792994066585
b_unbal_seed8,b_unbal,8,64,4,0.324625957861141,,,,,29.841861211787098,14.450745990586128,-21.38494297424685,-27.211697880974704
b_unbal_seed9,b_unbal,9,64,4,0.2751019997546262,,,,,18.504446515998936,7.608028562886968,-19.75985605370466,-42.77684193482753
b_unbal_seed10,b_unbal,10,64,4,0.22429658352725274,,,,,33.65218189362647,20.52254140160604,-16.986663190291452,-33.199847925817835
b_unbal_seed11,b_unbal,11,64,4,0.31057927658862033,,,,,24.936080413837868,29.550916638612623,-23.64573564795578,-41.38935810998295
b_unbal_seed12,b_unbal,12,64,4,0.2902872472065821,,,,,23.349216776192012,22.947552350499386,-15.975121623513212,-28.511248983457797
b_unbal_seed13,b_unbal,13,64,4,0.29790227603575853,,,,,23.95712097393581,20.171472457058737,-14.806751832874996,-23.398523393129185
b_unbal_seed14,b_unbal,14,64,4,0.35548672653667107,,,,,39.94071660082131,20.279227292732173,-17.927650140413434,-28.32989104937359
b_unbal_seed15,b_unbal,15,64,4,0.3218398128972733,,,,,30.259062366535392,26.592462303493434,-18.708926934944454,-29.38945861916482
