bank,tag,family,correct,n_tokens,start,depth_frac,pr,cos_consecutive,contraction,step_norm,pre_floor
ds_bank,trained_track_n4_ns128_seed0,track,False,22,64,0.8311688311688312,1.0066184370277924,0.9962358875031886,0.8727330349145975,0.0024857024559498324,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,68,0.8831168831168831,1.0180022227982755,0.9882686738963412,0.8730866363018442,0.0014436376222989207,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,72,0.935064935064935,1.048924168410207,0.9693105639050272,0.8752871129965633,0.0008442289631878821,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,76,0.987012987012987,1.1592685412933807,0.906019043361932,0.8787431704938722,0.0005025367503187293,89
ds_bank,trained_local_n4_ns128_seed0,local,False,25,0,0.0,10.033079867089594,0.08469824055575823,0.8311518044626627,24.542797422453837,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,4,0.047619047619047616,8.345784815853204,0.27852958589749527,0.8550869442730381,11.175104124393862,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,8,0.09523809523809523,6.249376428113784,0.4533996201865987,0.8655767088354227,7.405025966046152,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,12,0.14285714285714285,4.2406120943246535,0.6402178559295225,0.8451278102773003,3.758697593132296,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,16,0.19047619047619047,4.50683969175444,0.7299303395991956,0.8096644902786061,1.957274937915537,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,20,0.23809523809523808,4.1182028561438155,0.7926622239990407,0.8049610665318981,0.6871547537193374,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,24,0.2857142857142857,2.8064819420935776,0.8407358572638504,0.8889585940400758,0.3323773348839748,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,28,0.3333333333333333,1.6528825702659486,0.9188368324598531,0.960777453587241,0.27112303650235203,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,32,0.38095238095238093,1.241703656173914,0.9721928114354335,0.9411012126366771,0.24566015942440877,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,36,0.42857142857142855,1.0728030193501747,0.9923293958990956,0.9005772404382213,0.1640513094089078,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,40,0.47619047619047616,1.0287706432736896,0.9957882631154548,0.8953493128595633,0.10442788982421558,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,44,0.5238095238095238,1.013421882896546,0.9971158965825115,0.8965950873966987,0.06798279678733324,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,48,0.5714285714285714,1.008460030832222,0.9979051524537258,0.8926083831930581,0.0439325184203566,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,52,0.6190476190476191,1.005221587657767,0.9989096033320798,0.8850241077289521,0.02756221552208441,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,56,0.6666666666666666,1.002430248141547,0.99950226572195,0.8792681159525852,0.016508901101487453,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,60,0.7142857142857143,1.0011489481586937,0.9996509069114313,0.8777150442645981,0.009813067671321824,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,64,0.7619047619047619,1.0012039848755458,0.9993489135749892,0.8760860332058225,0.005821919000001728,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,68,0.8095238095238095,1.0031459708258006,0.9980518779895496,0.8743993477032649,0.0034028845932726403,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,72,0.8571428571428571,1.008407070905556,0.9948436512174207,0.8731437275654499,0.0019953938748263986,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,76,0.9047619047619048,1.024197128205193,0.9843672395653474,0.8737539379684224,0.0011528318916697387,96
ds_bank,trained_local_n4_ns128_seed0,local,False,25,80,0.9523809523809523,1.0721352209075306,0.954312632473384,0.8729790720223559,0.0006770537937202223,96
