tag,arm,task,n_ops,seed,position,window_k,natural_window,pr,null_mean,z,ratio,cos_consecutive
trained_track_n8_ns128_seed1,trained,track,8,1,mid,15,67,11.604911117960997,14.959828476839263,-797.5122122189506,0.7757382469944536,0.14102118727119778
trained_track_n8_ns128_seed1,trained,track,8,1,mid,20,67,14.036827996141476,19.928054526044242,-704.4752004812294,0.7043752302963923,0.2126422202971414
trained_track_n8_ns128_seed1,trained,track,8,1,mid,30,67,16.097971258968236,29.83418867242773,-1124.3939141519256,0.5395813318645973,0.3618145967392554
trained_track_n8_ns128_seed1,trained,track,8,1,mid,41,67,15.191638099812435,40.68604824341104,-1363.1934788669707,0.37338691654018447,0.4503269064374692
trained_local_n8_ns128_seed1,trained,local,8,1,mid,10,72,8.078034807600554,9.981593613500841,-432.6705593724578,0.8092930969133442,0.12967162999930223
trained_local_n8_ns128_seed1,trained,local,8,1,mid,15,72,11.352751084067236,14.959828476839263,-857.4542867775494,0.758882436496081,0.19900003212151135
trained_local_n8_ns128_seed1,trained,local,8,1,mid,20,72,14.724757939194996,19.928054526044242,-622.2122655745882,0.738895907774189,0.2268144589187464
trained_local_n8_ns128_seed1,trained,local,8,1,mid,30,72,16.407840427698044,29.83418867242773,-1099.0292160683239,0.5499677101278743,0.3583613016762078
trained_local_n8_ns128_seed1,trained,local,8,1,mid,41,72,17.793632290479,40.68604824341104,-1224.0640974540408,0.4373399004991992,0.4222324277368969
trained_count_ones_n8_ns128_seed1,trained,count_ones,8,1,mid,10,78,7.962523199600141,9.981593613500841,-458.9258407394621,0.7977206353933546,0.1647916625009368
trained_count_ones_n8_ns128_seed1,trained,count_ones,8,1,mid,15,78,10.266925655731669,14.959828476839263,-1115.5706416093196,0.6862996906433035,0.29106661003356715
trained_count_ones_n8_ns128_seed1,trained,count_ones,8,1,mid,20,78,10.021364940775836,19.928054526044242,-1184.6458621584281,0.5028772340861863,0.3962564425611893
trained_count_ones_n8_ns128_seed1,trained,count_ones,8,1,mid,30,78,8.689380765062685,29.83418867242773,-1730.832631089301,0.2912558092485776,0.5633295341926698
trained_count_ones_n8_ns128_seed1,trained,count_ones,8,1,mid,41,78,6.417272247037843,40.68604824341104,-1832.361357014514,0.15772660467405059,0.64749465244334
trained_track_n16_ns128_seed0,trained,track,16,0,mid,10,63,8.367874133424182,9.981593613500841,-366.7913530965397,0.8383304768194545,-0.09619837586176105
trained_track_n16_ns128_seed0,trained,track,16,0,mid,15,63,10.973693530019352,14.959828476839263,-947.5617309108706,0.7335440741856615,-0.10331272723165451
trained_track_n16_ns128_seed0,trained,track,16,0,mid,20,63,13.435124875131768,19.928054526044242,-776.4270978750801,0.6741814589865369,-0.04745957297090041
trained_track_n16_ns128_seed0,trained,track,16,0,mid,30,63,14.443286451119807,29.83418867242773,-1259.8400469396454,0.4841186267776089,0.1375877414998084
trained_track_n16_ns128_seed0,trained,track,16,0,mid,41,63,13.49510330227483,40.68604824341104,-1453.9076848300715,0.33168872094773455,0.29484851937114104
trained_local_n16_ns128_seed0,trained,local,16,0,mid,10,64,8.631142333549118,9.981593613500841,-306.95164703651966,0.8647058443528357,-0.009817593554894217
trained_local_n16_ns128_seed0,trained,local,16,0,mid,15,64,12.623528013875667,14.959828476839263,-555.3722942520515,0.8438283923789203,-0.04244911165749106
trained_local_n16_ns128_seed0,trained,local,16,0,mid,20,64,15.576845024608938,19.928054526044242,-520.3193546030658,0.7816540748747626,0.04779208381637008
trained_local_n16_ns128_seed0,trained,local,16,0,mid,30,64,19.91719526658701,29.83418867242773,-811.7669294667766,0.6675963434190573,0.17772889961264932
trained_local_n16_ns128_seed0,trained,local,16,0,mid,41,64,20.53583243098125,40.68604824341104,-1077.4378633805543,0.504738929377516,0.2867682914261449
trained_count_ones_n16_ns128_seed0,trained,count_ones,16,0,mid,10,66,8.438971291640971,9.981593613500841,-350.63128117225705,0.8454533031906489,0.04155997281994978
trained_count_ones_n16_ns128_seed0,trained,count_ones,16,0,mid,15,66,11.239218164404718,14.959828476839263,-884.4426981850975,0.7512932505747124,0.1529496707493823
trained_count_ones_n16_ns128_seed0,trained,count_ones,16,0,mid,20,66,13.209051415708162,19.928054526044242,-803.461051643882,0.6628369768080008,0.2525255894183145
trained_count_ones_n16_ns128_seed0,trained,count_ones,16,0,mid,30,66,15.53915996083673,29.83418867242773,-1170.1360572664294,0.5208507639156204,0.3994754239076451
trained_count_ones_n16_ns128_seed0,trained,count_ones,16,0,mid,41,66,17.160697868876245,40.68604824341104,-1257.9072839101887,0.4217833535026435,0.5193615627318708
trained_track_n16_ns128_seed1,trained,track,16,1,mid,10,70,7.637946349359613,9.981593613500841,-532.7007338069243,0.7652030973319458,-0.004259582651159848
trained_track_n16_ns128_seed1,trained,track,16,1,mid,15,70,10.825310014708947,14.959828476839263,-982.83463122207,0.723625276283658,0.06227754090272131
trained_track_n16_ns128_seed1,trained,track,16,1,mid,20,70,13.91842699351303,19.928054526044242,-718.6336392444439,0.6984338072400821,0.1410727808449285
trained_track_n16_ns128_seed1,trained,track,16,1,mid,30,70,14.659093486245489,29.83418867242773,-1242.174913255264,0.49135217475490406,0.2733192519079943
trained_track_n16_ns128_seed1,trained,track,16,1,mid,41,70,16.016327016249683,40.68604824341104,-1319.0971241504292,0.3936564917887662,0.37469567846339424
trained_local_n16_ns128_seed1,trained,local,16,1,mid,10,75,8.005049916106156,9.981593613500841,-449.2597047830112,0.8019811491101717,0.021877178616636586
trained_local_n16_ns128_seed1,trained,local,16,1,mid,15,75,10.583130038665422,14.959828476839263,-1040.4043021823652,0.7074365896006211,0.10432967779965954
trained_local_n16_ns128_seed1,trained,local,16,1,mid,20,75,13.361522455941401,19.928054526044242,-785.2285042972999,0.6704880518306013,0.15744889750039925
trained_local_n16_ns128_seed1,trained,local,16,1,mid,30,75,17.7556192175818,29.83418867242773,-988.7052292418315,0.595143357593339,0.2743240661410153
trained_local_n16_ns128_seed1,trained,local,16,1,mid,41,75,18.265959349031846,40.68604824341104,-1198.808633119506,0.4489489674630653,0.3890396341407917
trained_count_ones_n16_ns128_seed1,trained,count_ones,16,1,mid,10,74,8.851622803997007,9.981593613500841,-256.83740408079785,0.8867945487206105,0.006346859082039848
trained_count_ones_n16_ns128_seed1,trained,count_ones,16,1,mid,15,74,11.477960253123818,14.959828476839263,-827.6902625937172,0.7672521293204627,0.16752464547995244
trained_count_ones_n16_ns128_seed1,trained,count_ones,16,1,mid,20,74,13.321149460446787,19.928054526044242,-790.0563230801512,0.6684621142037321,0.2543188442456364
trained_count_ones_n16_ns128_seed1,trained,count_ones,16,1,mid,30,74,14.098278264026122,29.83418867242773,-1288.0810898864916,0.47255443809187686,0.41284147463805415
trained_count_ones_n16_ns128_seed1,trained,count_ones,16,1,mid,41,74,12.092771718595264,40.68604824341104,-1528.8907599164809,0.2972215843192303,0.528474677970317
trained_track_n32_ns128_seed0,trained,track,32,0,mid,10,70,8.327628787558726,9.981593613500841,-375.93894352231035,0.8342985208589332,0.07906065527143696
trained_track_n32_ns128_seed0,trained,track,32,0,mid,15,70,11.98424852468803,14.959828476839263,-707.3382430701463,0.8010953162492463,0.17231890890649132
trained_track_n32_ns128_seed0,trained,track,32,0,mid,20,70,15.468919064433246,19.928054526044242,-533.225183643246,0.7762382948228442,0.18305513384426175
trained_track_n32_ns128_seed0,trained,track,32,0,mid,30,70,19.30447377124028,29.83418867242773,-861.9219539324546,0.6470587815609398,0.22489813118470695
trained_track_n32_ns128_seed0,trained,track,32,0,mid,41,70,21.066045905317196,40.68604824341104,-1049.087195663551,0.5177707547139029,0.29294274640902634
trained_local_n32_ns128_seed0,trained,local,32,0,mid,10,73,8.601314387593458,9.981593613500841,-313.7314081983835,0.8617175493860566,0.10761587817601542
trained_local_n32_ns128_seed0,trained,local,32,0,mid,15,73,12.025549514395832,14.959828476839263,-697.5204025258672,0.8038561092470902,0.20000050222739957
trained_local_n32_ns128_seed0,trained,local,32,0,mid,20,73,13.926932799901428,19.928054526044242,-717.6165115495053,0.6988606329684682,0.2920320170712717
trained_local_n32_ns128_seed0,trained,local,32,0,mid,30,73,17.541890644414085,29.83418867242773,-1006.2002280261896,0.5879794767345564,0.3743071816818189
trained_local_n32_ns128_seed0,trained,local,32,0,mid,41,73,20.474230762902163,40.68604824341104,-1080.7317223770851,0.5032248558624244,0.4121497341482193
trained_count_ones_n32_ns128_seed0,trained,count_ones,32,0,mid,10,71,8.388175728434629,9.981593613500841,-362.176889680912,0.8403643800013059,0.038165646500766065
trained_count_ones_n32_ns128_seed0,trained,count_ones,32,0,mid,15,71,10.766266938927846,14.959828476839263,-996.8700213510659,0.7196785013675878,0.11530446759713422
trained_count_ones_n32_ns128_seed0,trained,count_ones,32,0,mid,20,71,13.01008858086472,19.928054526044242,-827.2531061936772,0.6528529196797239,0.19522239163726285
trained_count_ones_n32_ns128_seed0,trained,count_ones,32,0,mid,30,71,16.13276878871442,29.83418867242773,-1121.5455222332166,0.5407476960693777,0.3598332953735438
trained_count_ones_n32_ns128_seed0,trained,count_ones,32,0,mid,41,71,16.374593785655176,40.68604824341104,-1299.9404964427301,0.4024621336457021,0.48575677495147274
trained_track_n32_ns128_seed1,trained,track,32,1,mid,10,76,8.951572590176605,9.981593613500841,-234.11925649248022,0.8968079584074574,-0.04153043594544317
trained_track_n32_ns128_seed1,trained,track,32,1,mid,15,76,12.458606319588188,14.959828476839263,-594.5765580787114,0.8328040885546613,0.018875272532961805
trained_track_n32_ns128_seed1,trained,track,32,1,mid,20,76,15.449129487724974,19.928054526044242,-535.5916290597031,0.7752452437107846,0.08977594286443726
trained_track_n32_ns128_seed1,trained,track,32,1,mid,30,76,16.35623781277504,29.83418867242773,-1103.2532076103405,0.5482380631282663,0.2779466174654868
trained_track_n32_ns128_seed1,trained,track,32,1,mid,41,76,16.544810408090747,40.68604824341104,-1290.8389644444621,0.40664579437916093,0.411385485868743
trained_local_n32_ns128_seed1,trained,local,32,1,mid,10,76,8.77261204727047,9.981593613500841,-274.7962022032143,0.8788789032048816,0.05856392971832095
trained_local_n32_ns128_seed1,trained,local,32,1,mid,15,76,13.026934538279294,14.959828476839263,-459.47674891192315,0.8707943783210839,0.0757520139173237
trained_local_n32_ns128_seed1,trained,local,32,1,mid,20,76,16.11555549135934,19.928054526044242,-455.9001437411146,0.8086868424761536,0.14942372071020124
trained_local_n32_ns128_seed1,trained,local,32,1,mid,30,76,18.929642290148333,29.83418867242773,-892.604216995601,0.634494958049347,0.3095013996747353
trained_local_n32_ns128_seed1,trained,local,32,1,mid,41,76,18.369672568058856,40.68604824341104,-1193.2630573225535,0.4514980776250188,0.4380457359902493
trained_count_ones_n32_ns128_seed1,trained,count_ones,32,1,mid,10,72,8.752366282900608,9.981593613500841,-279.3979755593511,0.8768505933824422,0.0224216983922214
trained_count_ones_n32_ns128_seed1,trained,count_ones,32,1,mid,15,72,11.75873083546179,14.959828476839263,-760.9470482925377,0.7860204315622069,0.11909561451417353
