metric,window_k,n_families,alpha,usable,capability_defined,length_defined,rho_capability,p_capability,rho_log_rank,p_log_rank,rho_length,p_length,rho_window,p_window,sig_capability,sig_length,sigma2_family,sigma2_within_family,sigma2_h0,sigma2_item,h0_share,reliability,ceiling,band_lo,band_hi,wide_lo,wide_hi,null_is_readable,why
contraction,30.0,21,0.00625,True,True,True,-0.07968785631930876,0.7313265335049449,0.06753246753246753,0.7711624988673798,0.6155349041915847,0.002974592043556108,0.07385489458759964,0.7503663655077303,False,True,0.00042959320418321925,4.813438791701637e-05,2.4735577137070827e-05,2.3398810779945543e-05,0.5138857728847603,0.9953530930126709,0.9976738409984853,0.9941502095145349,0.9990759903889298,0.9887964988552531,0.9993806074030629,True,
settle,30.0,21,0.00625,True,True,True,-0.10449405204839785,0.6521568960837065,0.06546877557141548,0.7779841181194151,0.7425917712961387,0.00011556314824786378,0.07598154957809601,0.743407746848495,False,True,2.2243033988957914,0.6345755693581782,0.11249999999999999,0.5220755693581782,0.17728384991843388,0.9882524853275841,0.9941088900757221,0.9852250630857583,0.9976573811575362,0.9661106326856101,0.9986656476723577,True,
pr,40.0,21,0.00625,True,True,True,-0.10712138062595605,0.6439617398759003,0.16493506493506493,0.47494156501178986,0.07734810306103336,0.7389463547718926,-0.17275737641576064,0.453944489163553,False,False,3.381949778089147,4.405271613340469,2.7082905385858416,1.6969810747546274,0.6147840079563618,0.948519747103676,0.9739197847377761,0.935574299757327,0.9895654846854464,0.8402551239784442,0.9938705576142636,True,
cos_consecutive,40.0,21,0.00625,True,True,True,0.020901732805064594,0.9283444236463856,-0.05714285714285714,0.8056609740932286,-0.09424768860378015,0.6844800652610931,0.3039250140647641,0.1804341309851492,False,False,0.018104905462511707,0.0063667490798761895,0.004141894316503776,0.002224854763372414,0.6505508956832206,0.9855591444786749,0.9927533150177212,0.9818438855181241,0.9971171519304456,0.9635618910880269,0.9979671371451005,True,
contraction,40.0,21,0.00625,True,True,True,-0.12149132192943794,0.5998598030829585,0.11688311688311687,0.6138658528020938,0.6551839318111061,0.0012654825083560574,-0.2676672930886168,0.24077395048902653,False,True,0.0005908928107661427,4.854150270401716e-05,1.9862498668873878e-05,2.8679004035143284e-05,0.40918590407029387,0.9965887836553444,0.9982929347918598,0.9957050812716283,0.9993220368606096,0.9916860003591483,0.9995882938335331,True,
settle,40.0,21,0.00625,True,True,True,-0.08360693122025838,0.7186180616899898,0.08311688311688312,0.7202033241160488,0.640884282505705,0.0017457311484342303,-0.2964601891579102,0.1919161096107097,False,True,22.11576590177134,2.2811421670117324,1.7888888888888888,0.4922532781228437,0.7842075407480239,0.9957206614550108,0.997858036724168,0.9946126697661575,0.9991492049095465,0.9879854950696279,0.999569448596294,True,
pr,,21,0.00625,True,True,True,-0.009797687252374027,0.9663790058771061,0.04285714285714286,0.8536570982478848,0.040299011678857716,0.8623095418754217,-0.07797272601187286,0.7369098213738541,False,False,4.475012365603713,5.297994022065467,3.311000255551766,1.986993766513701,0.6249535657763814,0.9529895796589362,0.9762118518328571,0.9411358739947774,0.9904891502454586,0.8626989907596517,0.9947618109713188,True,
cos_consecutive,,21,0.00625,True,True,True,0.05094797371234495,0.8264019216860667,-0.08961038961038961,0.6992893846688304,-0.18134555255485973,0.4314579264503669,0.4756336286724244,0.029310357257039545,False,False,0.022819757897377526,0.007399136399816334,0.005264078366267877,0.002135058033548457,0.7114449689559103,0.9866699838488406,0.9933126314755293,0.9832381352649623,0.9973401066010985,0.9688151991703434,0.9981721243995092,True,
contraction,,21,0.00625,True,True,True,-0.131289009181812,0.5705333150106733,0.13246753246753248,0.567048530648251,0.6649336927011523,0.001006584477590951,-0.6809618071703563,0.0006785046062264994,False,True,0.0006162658175161759,4.936684480785252e-05,1.926097679548495e-05,3.010586801236757e-05,0.39016017471753045,0.9966733363724486,0.9983352825441203,0.9958114922326973,0.999338863771175,0.9916552955850767,0.9996392339731537,True,
settle,,21,0.00625,True,True,True,-0.09013872272184106,0.6975967084759812,0.08441558441558442,0.7160045730938803,0.6395843143870321,0.0017961292391692266,-0.6315790806961702,0.0021342701953977936,False,True,27.98170541465379,2.8321256038647347,1.8013888888888887,1.030736714975846,0.6360554371002131,0.9958004822550676,0.9978980319927822,0.9947131029699141,0.9991651012412058,0.9879989220054836,0.9995368794140036,True,
