file,family,num_steps,n_ops,floor_frac,window_lo,window_hi,n_steps,ambient,pr,null_mean,null_sd,z,ratio,cos_consecutive
projection_n16_ns128_init3.npy,projection,128,16,2.0,0,23,23,5280,11.19067418956178,22.904989265816475,0.009138584098839546,-1281.8523033280644,0.4885692832985868,-0.11971605990353282
projection_n16_ns128_init4.npy,projection,128,16,2.0,0,23,23,5280,9.715792281830662,22.904989265816475,0.009138584098839546,-1443.2429401903332,0.4241779888685895,-0.121742853023724
projection_n16_ns64_init0.npy,projection,64,16,2.0,0,26,26,5280,10.782418150533378,25.876184687230182,0.012997908143072164,-1161.2458228320165,0.4166927342984404,0.34352007610780766
projection_n16_ns64_init1.npy,projection,64,16,2.0,0,21,21,5280,12.377660205614475,20.919456212671992,0.0069405654821520675,-1230.7060612025166,0.5916817377937715,0.2844131466337935
projection_n16_ns64_init2.npy,projection,64,16,2.0,0,19,19,5280,12.799794219398603,18.9365873453091,0.006515418516142088,-941.8877867486888,0.6759292995086214,0.24516016303303065
projection_n16_ns64_init3.npy,projection,64,16,2.0,0,22,22,5280,11.283703718219913,21.914697148349525,0.008992158692392978,-1182.2515364550923,0.5148920672659046,0.28288199374852085
projection_n16_ns64_init4.npy,projection,64,16,2.0,0,19,19,5280,13.00167512421768,18.9365873453091,0.006515418516142088,-910.9026851287524,0.6865901911010596,0.2548687443419182
projection_n24_ns128_init0.npy,projection,128,24,2.0,0,30,30,5280,7.115928562027267,29.83418867242773,0.012216552616099881,-1859.629375349364,0.23851590670550704,-0.2239583502133054
projection_n24_ns128_init1.npy,projection,128,24,2.0,0,23,23,5280,17.18882960822143,22.904989265816475,0.009138584098839546,-625.4972975869322,0.7504404131668434,0.16935056607553525
projection_n24_ns128_init2.npy,projection,128,24,2.0,0,39,39,5280,4.268810466288824,38.71464105390062,0.01619456749627677,-2126.9991060601715,0.1102634649342494,-0.49789949114747484
projection_n24_ns128_init3.npy,projection,128,24,2.0,0,27,27,5280,14.657189669199933,26.864947999780945,0.011039505594107836,-1105.824733409865,0.5455878667369632,-0.07846751721859214
projection_n24_ns128_init4.npy,projection,128,24,2.0,0,22,22,5280,14.698331536543055,21.914697148349525,0.008992158692392978,-802.5175999074881,0.670706578194718,0.00037281083209742455
projection_n24_ns64_init0.npy,projection,64,24,2.0,0,23,23,5280,13.293850943585223,22.904989265816475,0.009138584098839546,-1051.7097854854467,0.5803910575686249,0.3005661454512428
projection_n24_ns64_init1.npy,projection,64,24,2.0,0,20,20,5280,12.486051583491728,19.928054526044242,0.008362574759024093,-889.917657779001,0.6265564742997636,0.26560394435756346
projection_n24_ns64_init2.npy,projection,64,24,2.0,0,20,20,5280,12.222669766403833,19.928054526044242,0.008362574759024093,-921.4129597257703,0.6133398395929649,0.2551639991222545
projection_n24_ns64_init3.npy,projection,64,24,2.0,0,21,21,5280,11.38167829402267,20.919456212671992,0.0069405654821520675,-1374.2076122148962,0.5440714222355455,0.27935421609677
projection_n24_ns64_init4.npy,projection,64,24,2.0,0,21,21,5280,13.76311773123096,20.919456212671992,0.0069405654821520675,-1031.0886771177125,0.657909918465946,0.20595982610650446
projection_n2_ns128_init0.npy,projection,128,2,2.0,0,19,19,5280,13.455415102215182,18.9365873453091,0.006515418516142088,-841.2617285465541,0.7105512126792111,0.12622662786016497
projection_n2_ns128_init1.npy,projection,128,2,2.0,0,19,19,5280,14.800461971395743,18.9365873453091,0.006515418516142088,-634.821134462202,0.7815802130293587,0.055892140706254624
projection_n2_ns128_init2.npy,projection,128,2,2.0,0,17,17,5280,13.889765396882414,16.94682157817706,0.006116939620915967,-499.7688992779164,0.8196088766738825,0.05400999492562792
