tag,block,family,item,gold,correct,best_rank,best_depth,n_tokens,h0_seed,state_sha,natural_window,log_rank,window_k,window,pr,cos_consecutive,contraction,settle
echo_digit_i10,main,echo_digit,10,1,True,1,3,21,,a64e6515aa90b6bc,48,0.0,20.0,20,13.195652300871902,0.19140831663471486,0.851527084925821,20.0
echo_digit_i10,main,echo_digit,10,1,True,1,3,21,,a64e6515aa90b6bc,48,0.0,30.0,30,13.50537423151239,0.1963988140902921,0.864970779071236,30.0
echo_digit_i10,main,echo_digit,10,1,True,1,3,21,,a64e6515aa90b6bc,48,0.0,40.0,40,12.091523659025583,0.19865034195383394,0.8681882857223974,31.0
echo_digit_i10,main,echo_digit,10,1,True,1,3,21,,a64e6515aa90b6bc,48,0.0,,48,10.936029635120187,0.20034946840549453,0.8688317115829801,31.0
echo_digit_i11,main,echo_digit,11,4,True,1,3,21,,1ec1e629186260ea,49,0.0,10.0,10,7.983467466978181,0.05932753063085266,0.8652879661880432,10.0
echo_digit_i11,main,echo_digit,11,4,True,1,3,21,,1ec1e629186260ea,49,0.0,20.0,20,7.867725996381926,-0.013052989014157917,0.8745514069600341,20.0
echo_digit_i11,main,echo_digit,11,4,True,1,3,21,,1ec1e629186260ea,49,0.0,30.0,30,5.935581814218279,-0.04713393013863237,0.8695156292646413,30.0
echo_digit_i11,main,echo_digit,11,4,True,1,3,21,,1ec1e629186260ea,49,0.0,40.0,40,5.486854123281337,-0.025140217049941876,0.8654854678347623,33.0
echo_digit_i11,main,echo_digit,11,4,True,1,3,21,,1ec1e629186260ea,49,0.0,,49,5.662458093417583,0.0226869145582636,0.8642290796524208,33.0
echo_digit_i12,main,echo_digit,12,2,True,1,4,21,,a27445bd9f367d91,49,0.0,10.0,10,7.177726755256144,0.08904741947191658,0.8536630320164432,10.0
echo_digit_i12,main,echo_digit,12,2,True,1,4,21,,a27445bd9f367d91,49,0.0,20.0,20,7.788477385751364,0.017006462604930446,0.8746983572619966,20.0
echo_digit_i12,main,echo_digit,12,2,True,1,4,21,,a27445bd9f367d91,49,0.0,30.0,30,6.795861890025366,0.0024375546734656016,0.8675300467895589,30.0
echo_digit_i12,main,echo_digit,12,2,True,1,4,21,,a27445bd9f367d91,49,0.0,40.0,40,6.608694648569884,0.04965995736382605,0.8643893164278269,32.0
echo_digit_i12,main,echo_digit,12,2,True,1,4,21,,a27445bd9f367d91,49,0.0,,49,6.739954666487738,0.10695262554139812,0.8640774594300769,32.0
echo_digit_i13,main,echo_digit,13,8,True,1,4,21,,ba2d3209f0a02f47,50,0.0,10.0,10,8.090845060458008,0.1809344420344141,0.8267441179772993,10.0
echo_digit_i13,main,echo_digit,13,8,True,1,4,21,,ba2d3209f0a02f47,50,0.0,20.0,20,12.75429747758968,0.21736858308803506,0.8585980818941368,20.0
echo_digit_i13,main,echo_digit,13,8,True,1,4,21,,ba2d3209f0a02f47,50,0.0,30.0,30,11.903899947104097,0.21543885171081004,0.8583250672134979,30.0
echo_digit_i13,main,echo_digit,13,8,True,1,4,21,,ba2d3209f0a02f47,50,0.0,40.0,40,11.064524139423996,0.2604136885482661,0.8622109946947277,30.0
echo_digit_i13,main,echo_digit,13,8,True,1,4,21,,ba2d3209f0a02f47,50,0.0,,50,10.652937571876278,0.33099807907334433,0.8659853346919326,30.0
echo_digit_i14,main,echo_digit,14,8,True,1,2,21,,986275cb5e8600b9,49,0.0,10.0,10,7.7048085852297445,0.18104522777105198,0.8400924234642302,10.0
echo_digit_i14,main,echo_digit,14,8,True,1,2,21,,986275cb5e8600b9,49,0.0,20.0,20,12.503540235372293,0.2197723885395381,0.8481192939833284,20.0
echo_digit_i14,main,echo_digit,14,8,True,1,2,21,,986275cb5e8600b9,49,0.0,30.0,30,12.243637327682716,0.21612567710562278,0.8584337191428679,30.0
echo_digit_i14,main,echo_digit,14,8,True,1,2,21,,986275cb5e8600b9,49,0.0,40.0,40,12.145789225506348,0.25961786156266814,0.8632946608605202,30.0
echo_digit_i14,main,echo_digit,14,8,True,1,2,21,,986275cb5e8600b9,49,0.0,,49,11.995893278408317,0.3202898606894029,0.866817992014592,30.0
echo_digit_i15,main,echo_digit,15,3,True,1,2,21,,620e426448869852,49,0.0,10.0,10,8.342813525368333,0.10541812446531848,0.8419919812103189,10.0
echo_digit_i15,main,echo_digit,15,3,True,1,2,21,,620e426448869852,49,0.0,20.0,20,12.86373946884918,0.1704506337915947,0.850652116491973,20.0
echo_digit_i15,main,echo_digit,15,3,True,1,2,21,,620e426448869852,49,0.0,30.0,30,12.589354907305268,0.19164652129435203,0.8586642167360614,30.0
echo_digit_i15,main,echo_digit,15,3,True,1,2,21,,620e426448869852,49,0.0,40.0,40,12.490374107145966,0.2558296363093426,0.86242541070349,31.0
echo_digit_i15,main,echo_digit,15,3,True,1,2,21,,620e426448869852,49,0.0,,49,12.001610327590614,0.3252171825740667,0.8662223491836747,31.0
echo_digit_i16,main,echo_digit,16,6,True,1,4,21,,416ae41032ca9592,50,0.0,10.0,10,7.990178750125965,0.1363471299614426,0.8395442441017096,10.0
echo_digit_i16,main,echo_digit,16,6,True,1,4,21,,416ae41032ca9592,50,0.0,20.0,20,13.334507352535407,0.2155221692156609,0.8468361970957671,20.0
echo_digit_i16,main,echo_digit,16,6,True,1,4,21,,416ae41032ca9592,50,0.0,30.0,30,13.919015162111776,0.25314704246798925,0.8491171571307459,28.0
echo_digit_i16,main,echo_digit,16,6,True,1,4,21,,416ae41032ca9592,50,0.0,40.0,40,13.665428866003523,0.3151936165966083,0.8543823860792091,28.0
echo_digit_i16,main,echo_digit,16,6,True,1,4,21,,416ae41032ca9592,50,0.0,,50,12.336553621835067,0.3847736538555163,0.8606826901196375,28.0
echo_digit_i17,main,echo_digit,17,3,True,1,2,21,,5ec3d63a1220edff,49,0.0,10.0,10,8.062282115242462,0.10299818631077134,0.8435610351315478,10.0
echo_digit_i17,main,echo_digit,17,3,True,1,2,21,,5ec3d63a1220edff,49,0.0,20.0,20,12.760706474710442,0.23179150723846337,0.8362504712873213,20.0
echo_digit_i17,main,echo_digit,17,3,True,1,2,21,,5ec3d63a1220edff,49,0.0,30.0,30,13.4414616976015,0.2812059863420399,0.8420695678116447,28.0
echo_digit_i17,main,echo_digit,17,3,True,1,2,21,,5ec3d63a1220edff,49,0.0,40.0,40,14.097770073570942,0.3387390472538097,0.8501832949465811,28.0
echo_digit_i17,main,echo_digit,17,3,True,1,2,21,,5ec3d63a1220edff,49,0.0,,49,13.913610512324288,0.39413154980357196,0.8562602564503395,28.0
echo_digit_i18,main,echo_digit,18,7,True,1,4,21,,2060495860db5234,48,0.0,10.0,10,8.140062735269572,0.14890337193589548,0.8520744614743249,10.0
echo_digit_i18,main,echo_digit,18,7,True,1,4,21,,2060495860db5234,48,0.0,20.0,20,12.120507278423617,0.14773409954255617,0.8631049915802884,20.0
echo_digit_i18,main,echo_digit,18,7,True,1,4,21,,2060495860db5234,48,0.0,30.0,30,10.306714150652562,0.13532221306110126,0.8661513263253823,30.0
echo_digit_i18,main,echo_digit,18,7,True,1,4,21,,2060495860db5234,48,0.0,40.0,40,8.87056932014954,0.13968826020734115,0.8667131405595835,32.0
echo_digit_i18,main,echo_digit,18,7,True,1,4,21,,2060495860db5234,48,0.0,,48,8.37124564386072,0.16640816083654544,0.8679258067754629,32.0
echo_digit_i19,main,echo_digit,19,9,True,1,2,21,,97d7d07b43f12eed,49,0.0,10.0,10,7.978248569888843,0.19548827427699275,0.8438159743245196,10.0
echo_digit_i19,main,echo_digit,19,9,True,1,2,21,,97d7d07b43f12eed,49,0.0,20.0,20,12.710260183713476,0.20705724928850144,0.8546251580467293,20.0
echo_digit_i19,main,echo_digit,19,9,True,1,2,21,,97d7d07b43f12eed,49,0.0,30.0,30,13.231614681662956,0.25572936184074174,0.8617209543998954,30.0
echo_digit_i19,main,echo_digit,19,9,True,1,2,21,,97d7d07b43f12eed,49,0.0,40.0,40,12.403275455363293,0.3138679393941526,0.8674288638165656,31.0
echo_digit_i19,main,echo_digit,19,9,True,1,2,21,,97d7d07b43f12eed,49,0.0,,49,11.274980218298646,0.36503031678268066,0.8721091458249386,31.0
echo_digit_i20,main,echo_digit,20,4,True,1,3,21,,e261f631258a54b1,48,0.0,10.0,10,7.719033401617501,0.11679116920465887,0.8636848021400267,10.0
echo_digit_i20,main,echo_digit,20,4,True,1,3,21,,e261f631258a54b1,48,0.0,20.0,20,9.153128643218883,0.05777687694474085,0.8670880502816227,20.0
echo_digit_i20,main,echo_digit,20,4,True,1,3,21,,e261f631258a54b1,48,0.0,30.0,30,7.601143980003808,0.04447753407528928,0.864902901438959,30.0
echo_digit_i20,main,echo_digit,20,4,True,1,3,21,,e261f631258a54b1,48,0.0,40.0,40,7.239768053267941,0.08359800024110421,0.862846320324066,31.0
echo_digit_i20,main,echo_digit,20,4,True,1,3,21,,e261f631258a54b1,48,0.0,,48,7.465163161679307,0.14056884024524863,0.8631811044764619,31.0
echo_digit_i21,main,echo_digit,21,7,True,1,3,21,,9db10a9d221530e9,48,0.0,10.0,10,7.275033234151407,0.067695407900925,0.8736146266735586,10.0
echo_digit_i21,main,echo_digit,21,7,True,1,3,21,,9db10a9d221530e9,48,0.0,20.0,20,8.836872401925856,0.038198748738952515,0.8718571066106423,20.0
echo_digit_i21,main,echo_digit,21,7,True,1,3,21,,9db10a9d221530e9,48,0.0,30.0,30,7.2752048926748145,0.013517852250191179,0.8730683681774416,30.0
echo_digit_i21,main,echo_digit,21,7,True,1,3,21,,9db10a9d221530e9,48,0.0,40.0,40,6.254044275457264,0.007253216199965545,0.8710467165693817,33.0
echo_digit_i21,main,echo_digit,21,7,True,1,3,21,,9db10a9d221530e9,48,0.0,,48,5.981330473319987,0.030462540606741084,0.8706547972221647,33.0
echo_digit_i22,main,echo_digit,22,4,True,1,2,21,,2b36f28f30551728,49,0.0,10.0,10,7.301828373024422,0.05304272257739281,0.8687842363213949,10.0
echo_digit_i22,main,echo_digit,22,4,True,1,2,21,,2b36f28f30551728,49,0.0,20.0,20,7.938870663817952,0.0029764102147786693,0.8742419899980334,20.0
echo_digit_i22,main,echo_digit,22,4,True,1,2,21,,2b36f28f30551728,49,0.0,30.0,30,6.735490865428302,-0.00597503432015674,0.870078070962599,30.0
echo_digit_i22,main,echo_digit,22,4,True,1,2,21,,2b36f28f30551728,49,0.0,40.0,40,6.779952727613095,0.04665942282245832,0.8664571955872433,33.0
echo_digit_i22,main,echo_digit,22,4,True,1,2,21,,2b36f28f30551728,49,0.0,,49,7.0835488810107226,0.10715907859014599,0.8655290661554191,33.0
echo_digit_i23,main,echo_digit,23,2,True,1,2,21,,858a9c79128b55d2,48,0.0,10.0,10,8.276392302756275,0.14828367493132963,0.8392927888275975,10.0
echo_digit_i23,main,echo_digit,23,2,True,1,2,21,,858a9c79128b55d2,48,0.0,20.0,20,14.308161613270354,0.22484016157520112,0.8393930511205541,20.0
echo_digit_i23,main,echo_digit,23,2,True,1,2,21,,858a9c79128b55d2,48,0.0,30.0,30,15.035695543608936,0.24185484209897712,0.8452385137417324,28.0
echo_digit_i23,main,echo_digit,23,2,True,1,2,21,,858a9c79128b55d2,48,0.0,40.0,40,14.542818409722035,0.2907849014020013,0.8548492968206584,28.0
echo_digit_i23,main,echo_digit,23,2,True,1,2,21,,858a9c79128b55d2,48,0.0,,48,14.144937617217122,0.3403504244245099,0.8593512164683194,28.0
echo_word_i00,main,echo_word,0,paper,True,1,6,21,,c85f7947e439f392,29,0.0,10.0,10,7.953168953258182,0.22485536123549432,0.8386593089527488,10.0
echo_word_i00,main,echo_word,0,paper,True,1,6,21,,c85f7947e439f392,29,0.0,20.0,20,14.289964633630712,0.22850249795854377,0.8333078706442981,20.0
echo_word_i00,main,echo_word,0,paper,True,1,6,21,,c85f7947e439f392,29,0.0,30.0,29,16.76039311716425,0.20103685616746053,0.8502099628041572,29.0
echo_word_i00,main,echo_word,0,paper,True,1,6,21,,c85f7947e439f392,29,0.0,40.0,29,16.76039311716425,0.20103685616746053,0.8502099628041572,29.0
echo_word_i00,main,echo_word,0,paper,True,1,6,21,,c85f7947e439f392,29,0.0,,29,16.76039311716425,0.20103685616746053,0.8502099628041572,29.0
echo_word_i01,main,echo_word,1,chair,True,1,6,21,,a1fd0158248bbc7e,29,0.0,10.0,10,8.181309974721374,0.06714137314166022,0.8506776103884962,10.0
echo_word_i01,main,echo_word,1,chair,True,1,6,21,,a1fd0158248bbc7e,29,0.0,20.0,20,14.25898355223393,0.06390077647423717,0.8271070203538032,20.0
echo_word_i01,main,echo_word,1,chair,True,1,6,21,,a1fd0158248bbc7e,29,0.0,30.0,29,14.128547648915044,0.01077406355954881,0.8485704332356161,29.0
echo_word_i01,main,echo_word,1,chair,True,1,6,21,,a1fd0158248bbc7e,29,0.0,40.0,29,14.128547648915044,0.01077406355954881,0.8485704332356161,29.0
echo_word_i01,main,echo_word,1,chair,True,1,6,21,,a1fd0158248bbc7e,29,0.0,,29,14.128547648915044,0.01077406355954881,0.8485704332356161,29.0
echo_word_i02,main,echo_word,2,cloud,True,1,4,21,,2b419dc21a641a97,26,0.0,10.0,10,7.862496160183983,0.20822285691955558,0.8121408963751617,10.0
echo_word_i02,main,echo_word,2,cloud,True,1,4,21,,2b419dc21a641a97,26,0.0,20.0,20,13.174249706309643,0.3176214433908764,0.819649340270591,20.0
echo_word_i02,main,echo_word,2,cloud,True,1,4,21,,2b419dc21a641a97,26,0.0,30.0,26,13.577261236269113,0.3301252609398989,0.8375779432278836,26.0
echo_word_i02,main,echo_word,2,cloud,True,1,4,21,,2b419dc21a641a97,26,0.0,40.0,26,13.577261236269113,0.3301252609398989,0.8375779432278836,26.0
echo_word_i02,main,echo_word,2,cloud,True,1,4,21,,2b419dc21a641a97,26,0.0,,26,13.577261236269113,0.3301252609398989,0.8375779432278836,26.0
echo_word_i03,main,echo_word,3,night,False,2,5,21,,553b1ff0d0d9a19e,29,0.3010299956639812,10.0,10,8.043493114387358,0.1831629454815703,0.8427528264168777,10.0
echo_word_i03,main,echo_word,3,night,False,2,5,21,,553b1ff0d0d9a19e,29,0.3010299956639812,20.0,20,14.686520971615133,0.2365062683757655,0.8357088776129814,20.0
echo_word_i03,main,echo_word,3,night,False,2,5,21,,553b1ff0d0d9a19e,29,0.3010299956639812,30.0,29,14.6334442077996,0.28140968054449944,0.8515246624685258,29.0
echo_word_i03,main,echo_word,3,night,False,2,5,21,,553b1ff0d0d9a19e,29,0.3010299956639812,40.0,29,14.6334442077996,0.28140968054449944,0.8515246624685258,29.0
echo_word_i03,main,echo_word,3,night,False,2,5,21,,553b1ff0d0d9a19e,29,0.3010299956639812,,29,14.6334442077996,0.28140968054449944,0.8515246624685258,29.0
echo_word_i04,main,echo_word,4,queen,True,1,5,21,,eeb7db31655c17a6,27,0.0,10.0,10,8.149452448395914,0.15322708860634568,0.8392273904647212,10.0
echo_word_i04,main,echo_word,4,queen,True,1,5,21,,eeb7db31655c17a6,27,0.0,20.0,20,13.863474360580469,0.29286429594438906,0.8321700241368543,20.0
echo_word_i04,main,echo_word,4,queen,True,1,5,21,,eeb7db31655c17a6,27,0.0,30.0,27,15.454443359680019,0.3244549865871141,0.8423236996946769,27.0
echo_word_i04,main,echo_word,4,queen,True,1,5,21,,eeb7db31655c17a6,27,0.0,40.0,27,15.454443359680019,0.3244549865871141,0.8423236996946769,27.0
echo_word_i04,main,echo_word,4,queen,True,1,5,21,,eeb7db31655c17a6,27,0.0,,27,15.454443359680019,0.3244549865871141,0.8423236996946769,27.0
echo_word_i05,main,echo_word,5,water,True,1,7,21,,d46482ea3eed09e0,31,0.0,10.0,10,8.230191443012194,0.1554675236444946,0.8367696001584568,10.0
echo_word_i05,main,echo_word,5,water,True,1,7,21,,d46482ea3eed09e0,31,0.0,20.0,20,14.328781201757424,0.24869477625517256,0.8422780118482874,20.0
echo_word_i05,main,echo_word,5,water,True,1,7,21,,d46482ea3eed09e0,31,0.0,30.0,30,15.477607541207604,0.24596759426767403,0.8554226961255497,30.0
echo_word_i05,main,echo_word,5,water,True,1,7,21,,d46482ea3eed09e0,31,0.0,40.0,31,15.65008269178429,0.2440700166987613,0.857286214653723,31.0
echo_word_i05,main,echo_word,5,water,True,1,7,21,,d46482ea3eed09e0,31,0.0,,31,15.65008269178429,0.2440700166987613,0.857286214653723,31.0
echo_word_i06,main,echo_word,6,paper,True,1,7,21,,454b3a71373ad3ec,29,0.0,10.0,10,8.012705071268604,0.1968894446097899,0.8412990423243304,10.0
echo_word_i06,main,echo_word,6,paper,True,1,7,21,,454b3a71373ad3ec,29,0.0,20.0,20,13.958868199702748,0.32996971384741497,0.8304975268129908,20.0
echo_word_i06,main,echo_word,6,paper,True,1,7,21,,454b3a71373ad3ec,29,0.0,30.0,29,16.491094512899288,0.3697840766741588,0.842905079623037,29.0
echo_word_i06,main,echo_word,6,paper,True,1,7,21,,454b3a71373ad3ec,29,0.0,40.0,29,16.491094512899288,0.3697840766741588,0.842905079623037,29.0
echo_word_i06,main,echo_word,6,paper,True,1,7,21,,454b3a71373ad3ec,29,0.0,,29,16.491094512899288,0.3697840766741588,0.842905079623037,29.0
echo_word_i07,main,echo_word,7,water,True,1,7,21,,77aae27ac9c9f21a,31,0.0,10.0,10,8.292632664516622,0.11087507073632825,0.8603123792585455,10.0
echo_word_i07,main,echo_word,7,water,True,1,7,21,,77aae27ac9c9f21a,31,0.0,20.0,20,14.009123429678846,0.24480596167463622,0.8389965382107369,20.0
echo_word_i07,main,echo_word,7,water,True,1,7,21,,77aae27ac9c9f21a,31,0.0,30.0,30,16.223302532442048,0.24448616300301934,0.8545346683875196,30.0
echo_word_i07,main,echo_word,7,water,True,1,7,21,,77aae27ac9c9f21a,31,0.0,40.0,31,16.262605096798193,0.2428115211367796,0.8567437311934208,31.0
echo_word_i07,main,echo_word,7,water,True,1,7,21,,77aae27ac9c9f21a,31,0.0,,31,16.262605096798193,0.2428115211367796,0.8567437311934208,31.0
echo_word_i08,main,echo_word,8,green,True,1,5,21,,cfb24dc026581fcf,29,0.0,10.0,10,8.320496125297542,0.13653226141590744,0.8391715548954506,10.0
echo_word_i08,main,echo_word,8,green,True,1,5,21,,cfb24dc026581fcf,29,0.0,20.0,20,14.572728085256443,0.22582516068659733,0.8274590152044121,20.0
echo_word_i08,main,echo_word,8,green,True,1,5,21,,cfb24dc026581fcf,29,0.0,30.0,29,16.16700214859566,0.25645866587934246,0.8449491102616402,29.0
echo_word_i08,main,echo_word,8,green,True,1,5,21,,cfb24dc026581fcf,29,0.0,40.0,29,16.16700214859566,0.25645866587934246,0.8449491102616402,29.0
echo_word_i08,main,echo_word,8,green,True,1,5,21,,cfb24dc026581fcf,29,0.0,,29,16.16700214859566,0.25645866587934246,0.8449491102616402,29.0
echo_word_i09,main,echo_word,9,apple,True,1,6,21,,27c0695fa17924d8,34,0.0,10.0,10,8.91381633107431,0.022564067548450986,0.8551470311611382,10.0
echo_word_i09,main,echo_word,9,apple,True,1,6,21,,27c0695fa17924d8,34,0.0,20.0,20,14.70275689193255,0.001751858986214564,0.8422207671390612,20.0
