tag,family,item,gold,correct,best_rank,best_depth,n_tokens,window,pr,cos_consecutive,contraction,settle
nth_item_i17,nth_item,17,3,False,6,11,29,50,19.145534854267,0.5122129384436702,0.8371715177149068,29.0
nth_item_i18,nth_item,18,2,False,2,10,29,50,17.37601364860164,0.6331723604388955,0.8410449081721508,28.0
nth_item_i19,nth_item,19,4,True,1,2,29,49,15.494281767038455,0.5999715554441541,0.8446547796703183,28.0
nth_item_i20,nth_item,20,5,False,4,20,29,50,17.23736306651471,0.6207792929739776,0.8435798073546187,29.0
nth_item_i21,nth_item,21,0,False,8,19,29,50,15.986794429707437,0.6088713657808812,0.8446168294021195,29.0
nth_item_i22,nth_item,22,2,True,1,2,29,49,16.9225464157939,0.6049783930157557,0.8399499763406125,28.0
nth_item_i23,nth_item,23,7,False,5,18,29,50,19.129886537255704,0.5580632386048902,0.8385364430808424,29.0
nth_item_i24,nth_item,24,9,False,3,2,29,49,16.28995104173176,0.5795675042893557,0.8462306388991457,29.0
nth_item_i25,nth_item,25,5,False,2,19,29,50,16.780419975344262,0.5870073972434652,0.8447311742344125,29.0
nth_item_i26,nth_item,26,8,False,7,10,29,49,19.09588117531412,0.4856833717330922,0.8409979826785338,29.0
nth_item_i27,nth_item,27,8,False,9,11,29,50,19.359497486415474,0.5608053119543889,0.8419333952165352,29.0
nth_item_i28,nth_item,28,7,False,8,11,29,50,16.816706591808153,0.6078179342594965,0.8415313143229356,29.0
nth_item_i29,nth_item,29,7,False,6,2,29,49,18.38780094558816,0.563735039133611,0.8412854347673618,29.0
nth_item_i30,nth_item,30,1,True,1,5,29,50,16.507729953949006,0.596214263592098,0.843080519337719,29.0
nth_item_i31,nth_item,31,5,False,7,18,29,50,18.15169960454915,0.5897809043526911,0.8472902599780179,30.0
local_last_i00,local_last,0,Subtract,False,2,16,46,46,13.726275503686294,0.3890403132385902,0.8870593139027825,36.0
local_last_i01,local_last,1,Subtract,False,2,24,46,46,10.30693901436484,0.6148634520219116,0.8818458382100975,35.0
local_last_i02,local_last,2,Add,False,5,14,46,44,14.935074638875154,0.36939156711273846,0.8777099109834426,33.0
local_last_i03,local_last,3,Subtract,False,2,3,46,46,10.419994947898923,0.3399047312479533,0.8804893567700641,34.0
local_last_i04,local_last,4,Subtract,False,2,24,46,46,8.629852167853487,0.6320030124427443,0.8916574795594275,38.0
local_last_i05,local_last,5,Add,False,4,12,46,45,13.182495337875322,0.5270793957185226,0.8760655347976071,34.0
local_last_i06,local_last,6,Add,False,3,15,46,34,14.037532887633363,0.36823718873632905,0.8849797938373418,34.0
local_last_i07,local_last,7,Subtract,False,2,20,46,41,9.850747724559172,0.3265794726837689,0.9033004105272638,41.0
local_last_i08,local_last,8,Add,False,4,12,46,41,11.52276973012843,0.34212835577264794,0.8946358369202239,41.0
local_last_i09,local_last,9,Subtract,True,1,4,46,46,11.095954428245935,0.5865523780536364,0.8775072110503093,34.0
local_last_i10,local_last,10,Subtract,True,1,3,46,42,14.844047736445381,0.5499612100185022,0.870106737125151,33.0
local_last_i11,local_last,11,Add,False,4,16,46,35,13.003190286718974,0.36272674099740404,0.8962293576076725,35.0
local_last_i12,local_last,12,Add,False,3,15,46,30,13.017716847548941,0.29988911762721593,0.8905297870847899,30.0
local_last_i13,local_last,13,Subtract,True,1,3,46,47,14.096130549995296,0.4643631603460209,0.8843657370717155,35.0
local_last_i14,local_last,14,Subtract,False,2,26,46,45,13.248884228476093,0.5159272338200135,0.894654263315847,39.0
local_last_i15,local_last,15,Add,False,4,18,46,40,14.357841466252967,0.3886667055973602,0.887661950802584,38.0
local_last_i16,local_last,16,Subtract,False,2,22,46,43,14.36298388682233,0.5093075551862482,0.8781808437016849,34.0
local_last_i17,local_last,17,Add,False,5,22,46,46,13.632429993576777,0.49812697754259844,0.8816898021998202,34.0
local_last_i18,local_last,18,Subtract,False,2,17,46,41,8.77705573853559,0.2739690207204215,0.8993307350309084,41.0
local_last_i19,local_last,19,Add,False,4,13,46,45,14.044992143968289,0.37593061566797614,0.8747662968792367,32.0
local_last_i20,local_last,20,Subtract,False,2,21,46,47,12.983795967429248,0.4114923474766539,0.8852064945634658,35.0
local_last_i21,local_last,21,Add,False,3,15,46,43,12.465100289238471,0.4060395430076714,0.9024478261297805,43.0
local_last_i22,local_last,22,Add,False,2,2,46,37,13.73277941624623,0.3973364948210206,0.893499849829806,37.0
local_last_i23,local_last,23,Subtract,True,1,4,46,45,9.89862595080865,0.5334087789748251,0.8929330668690164,40.0
local_last_i24,local_last,24,Add,False,5,14,46,45,15.319493097221718,0.3674631874904661,0.874486732299432,32.0
local_last_i25,local_last,25,Subtract,False,3,4,46,44,18.544250212839433,0.4913426866175842,0.8638405682298773,31.0
local_last_i26,local_last,26,Subtract,False,2,15,46,48,8.883629256225802,0.6469287794748448,0.887037105611214,36.0
local_last_i27,local_last,27,Subtract,True,1,4,46,47,14.682451720473304,0.40677018580944624,0.8836817313286565,36.0
local_last_i28,local_last,28,Subtract,False,2,2,46,48,18.045253988546943,0.502647198940539,0.8743495736309745,34.0
local_last_i29,local_last,29,Add,True,1,2,46,38,17.66636710737288,0.4421782934335577,0.8720431067449708,33.0
local_last_i30,local_last,30,Add,False,4,13,46,47,12.850122595185704,0.37424549319077094,0.879432877059163,35.0
local_last_i31,local_last,31,Subtract,False,2,24,46,45,15.531755809119492,0.532416500017228,0.8829875930313756,36.0
