file,task,n_ops,num_steps,task_seed,arm,observed,null_mean,null_std,obs_minus_null,z,p_value,pr_real,pr_null
count_ones_n64_ns128_init3.npy,count_ones,64,128,3,real,0.6364510987839554,0.6700107389409734,0.0024894442893520796,-0.033559640157017956,-13.480775729973224,1.0,12.963401754150484,24.968320582752497
count_ones_n64_ns128_init3.npy,count_ones,64,128,3,calibration,0.6679973624551739,0.6703016014360724,0.0022324679264566654,-0.0023042389808984876,-1.0321487505335567,0.87,24.933668881914148,24.90859655899601
count_ones_n64_ns128_init4.npy,count_ones,64,128,4,real,0.6295081218818399,0.6395676752900862,0.002548953269755723,-0.010059553408246269,-3.946542891784877,1.0,30.324279394748856,40.623730505909265
count_ones_n64_ns128_init4.npy,count_ones,64,128,4,calibration,0.6389923212610908,0.6399582310337839,0.002374147809964377,-0.0009659097726930632,-0.4068448344450619,0.64,40.96940157100828,40.33261487963921
count_ones_n8_ns128_init0.npy,count_ones,8,128,0,real,0.6341001077640332,0.6278821107100984,0.0014582376338934935,0.006217997053934887,4.26404922586783,0.0,42.41888563299872,43.800518388509005
count_ones_n8_ns128_init0.npy,count_ones,8,128,0,calibration,0.6275723097797316,0.6283154397088,0.0016477243228474306,-0.0007431299290684423,-0.45100379885407066,0.68,43.55500752986073,43.76002460218683
count_ones_n8_ns128_init1.npy,count_ones,8,128,1,real,0.38578450120861535,0.6129804239554303,0.0017215435046688172,-0.22719592274681494,-131.97222267730135,1.0,59.77686161961859,67.45042168114773
count_ones_n8_ns128_init1.npy,count_ones,8,128,1,calibration,0.6137407517551726,0.6131034448707271,0.0015000804424093524,0.000637306884445521,0.4248484724071939,0.31,67.37890282684188,66.6239883843526
count_ones_n8_ns128_init2.npy,count_ones,8,128,2,real,0.6188270282542466,0.6154362209287549,0.0016154459516678303,0.003390807325491685,2.0989915026193993,0.02,61.98873810772562,66.25696899218256
count_ones_n8_ns128_init2.npy,count_ones,8,128,2,calibration,0.6172845897627616,0.615297598273959,0.0015046385464744447,0.0019869914888025475,1.320577286457479,0.07,66.57861995858546,65.37623471383382
count_ones_n8_ns128_init3.npy,count_ones,8,128,3,real,0.6341927421073681,0.6244053411128525,0.0017850243898482093,0.009787400994515583,5.483062892685663,0.0,60.32567190776171,70.4367214986534
count_ones_n8_ns128_init3.npy,count_ones,8,128,3,calibration,0.6258549054529124,0.6245627445603215,0.001852283053034594,0.0012921608925909878,0.697604445753602,0.22,70.16766709701875,69.54139729510945
count_ones_n8_ns128_init4.npy,count_ones,8,128,4,real,0.6148752438438146,0.6211939875123146,0.0014191813423456753,-0.006318743668499938,-4.452386372312424,1.0,51.39198032428674,62.63108878649496
count_ones_n8_ns128_init4.npy,count_ones,8,128,4,calibration,0.6220354976658039,0.6215328073443114,0.0015496167026259216,0.0005026903214925271,0.3243965560262013,0.37,63.248401892031005,61.76725599894969
count_ones_n8_ns64_init0.npy,count_ones,8,64,0,real,0.6274287836793115,0.608235031548505,0.0009050590051142949,0.01919375213080654,21.207183202804185,0.0,23.009672662050587,21.91144901189911
count_ones_n8_ns64_init0.npy,count_ones,8,64,0,calibration,0.6107034975874446,0.608111053600562,0.001010965167652075,0.002592443986882631,2.5643257253892098,0.0,22.012456594821415,21.907997806414063
count_ones_n8_ns64_init1.npy,count_ones,8,64,1,real,0.6192181809864785,0.5989487267486557,0.0010974725072935526,0.02026945423782278,18.46921367334179,0.0,15.451902806798746,21.14889346497589
count_ones_n8_ns64_init1.npy,count_ones,8,64,1,calibration,0.5977303948506869,0.5987504957424143,0.0010090463541409746,-0.001020100891727438,-1.0109554308789652,0.86,21.19516365645907,21.25287942593039
count_ones_n8_ns64_init2.npy,count_ones,8,64,2,real,0.6181592629777891,0.5990745630065315,0.0009582695891572293,0.019084699971257613,19.91579424746439,0.0,16.884453444546324,20.92955471140746
count_ones_n8_ns64_init2.npy,count_ones,8,64,2,calibration,0.5986912273514516,0.5991099154972234,0.001058277563559988,-0.0004186881457717284,-0.3956316945464518,0.63,21.05103685857305,20.960926273524933
count_ones_n8_ns64_init3.npy,count_ones,8,64,3,real,0.6190362206672315,0.5985701552767161,0.0009780075673566679,0.02046606539051543,20.92628531068584,0.0,17.579761340185552,21.71443328825525
