task,n_ops,num_steps,init_seed,variant,observed,null_mean,null_std,z_score,p_value
count_ones,24,64,0,W9_windowed_maxnet,1.9067704822519065,0.47578027805592443,0.25023743873312876,5.718529615075277,0.0
count_ones,24,64,1,W1_centroid,0.6309471450377862,0.630425980893408,0.0023679849128227693,0.22008761185768616,0.44
count_ones,24,64,1,W2_fixedpoint,1.080115508534483,0.35556987506801113,0.2765853840055567,2.6196092612468465,0.0
count_ones,24,64,1,W3_sphere,1.0442840983876254,0.9381126220325525,0.004805808045750626,22.092325649367414,0.0
count_ones,24,64,1,W4_turn2d_signed,2.8474931744659906,0.6855773221899732,0.5037565790656621,4.291588322847934,0.0
count_ones,24,64,1,W5_turnfull_unsigned,13.753515763361731,14.499433314796011,0.018537324500351633,-40.238684467120954,1.0
count_ones,24,64,1,W6_pc23,1.1745228545815545,1.1763436053978504,0.0052864326065402475,-0.34441956453646416,0.65
count_ones,24,64,1,W7_absturn_fixedpt,2.6451615820852976,1.2432086740630641,0.3843019125611255,3.6480508220193792,0.0
count_ones,24,64,1,W8_absturn_centroid,0.6546099043479964,0.6331308546360674,0.0019910924391669514,10.787570325421708,0.0
count_ones,24,64,1,W9_windowed_maxnet,0.7242375773486394,0.41736645372702474,0.19834763491501448,1.5471378005243115,0.06
count_ones,24,64,2,W1_centroid,0.6304537999526457,0.6284353204421111,0.0027240914443460865,0.7409734774961305,0.24
count_ones,24,64,2,W2_fixedpoint,0.07932517153956427,0.3912735583851034,0.3458977698200521,-0.9018513967517785,0.58
count_ones,24,64,2,W3_sphere,0.20908792131914378,0.9374755271315223,0.0037548238549183757,-193.98715730919756,1.0
count_ones,24,64,2,W4_turn2d_signed,3.6815344133257004,0.7025731047725844,0.4837599178774646,6.157933302170935,0.0
count_ones,24,64,2,W5_turnfull_unsigned,14.000811611925581,14.49948399969346,0.014919167714710552,-33.424946840444704,1.0
count_ones,24,64,2,W6_pc23,1.17656223736738,1.1762824935835625,0.0045503538874065354,0.061477368736479694,0.47
count_ones,24,64,2,W7_absturn_fixedpt,3.0138158997382467,1.301100881202286,0.44099239043725835,3.883774540503404,0.0
count_ones,24,64,2,W8_absturn_centroid,0.6531353866279203,0.6316432754340134,0.0023511853422247234,9.14096851827542,0.0
count_ones,24,64,2,W9_windowed_maxnet,0.5676281205263648,0.4878773357782586,0.2780434746254936,0.28682847117892374,0.36
count_ones,24,64,3,W1_centroid,0.6258003697070628,0.6299326569945756,0.002574467361836602,-1.6051037774916155,0.95
count_ones,24,64,3,W2_fixedpoint,1.077705394395038,0.4357055142839858,0.3691903836260938,1.7389398765089523,0.01
count_ones,24,64,3,W3_sphere,0.28252395390972823,0.9336383378858263,0.003831293858180091,-169.94634399706027,1.0
count_ones,24,64,3,W4_turn2d_signed,4.03778233205346,0.7152937498772856,0.5521812385148279,6.017025480823095,0.0
count_ones,24,64,3,W5_turnfull_unsigned,14.18207968592412,14.498603027797264,0.01758334529349773,-18.001315255419254,1.0
count_ones,24,64,3,W6_pc23,1.171699694517573,1.17725867027763,0.005481420049946025,-1.014148835412033,0.84
count_ones,24,64,3,W7_absturn_fixedpt,4.714971676523151,1.4053669132582283,0.4394964632433835,7.530446863760394,0.0
count_ones,24,64,3,W8_absturn_centroid,0.648790257407163,0.6331711306978495,0.0020973972501294757,7.446909119552504,0.0
count_ones,24,64,3,W9_windowed_maxnet,1.106373835896993,0.519823553104061,0.2742967269888886,2.1383787157500147,0.04
count_ones,24,64,4,W1_centroid,0.6237372567342979,0.6280884634131142,0.002744813014405324,-1.5852470299362034,0.95
count_ones,24,64,4,W2_fixedpoint,1.0769573945198436,0.3707561515360787,0.3098397911942184,2.2792464462419333,0.0
count_ones,24,64,4,W3_sphere,0.1638021165188228,0.9356169780846608,0.004007787338170791,-192.57879633855643,1.0
count_ones,24,64,4,W4_turn2d_signed,2.8229479920847314,0.7147313611327247,0.5549128922890604,3.799184809448999,0.0
count_ones,24,64,4,W5_turnfull_unsigned,13.841973078013224,14.502664422476135,0.016475219340824566,-40.102127370514545,1.0
count_ones,24,64,4,W6_pc23,1.1658662897906154,1.180526185178038,0.005608887415194461,-2.6136904348817933,1.0
count_ones,24,64,4,W7_absturn_fixedpt,3.5442440806679416,1.2732478888361904,0.3720633033183968,6.103789789471185,0.0
count_ones,24,64,4,W8_absturn_centroid,0.6491131475056151,0.6311270561744652,0.0022357340813724423,8.044825849820594,0.0
count_ones,24,64,4,W9_windowed_maxnet,1.2827685665075454,0.4305546205078863,0.22477509222692688,3.79140739107911,0.0
count_ones,2,128,0,W1_centroid,0.6282711012149857,0.7104785453339223,0.0027848475298364347,-29.519549360666407,1.0
count_ones,2,128,0,W2_fixedpoint,5.044924160459019,0.31636812730759895,0.3368148938545514,14.039034850974787,0.0
count_ones,2,128,0,W3_sphere,1.07896505357901,0.9280567706443916,0.003819703744261179,39.507850094748036,0.0
count_ones,2,128,0,W4_turn2d_signed,0.1983073112598114,0.4597348068165074,0.36996989780867046,-0.7066182873394011,0.75
count_ones,2,128,0,W5_turnfull_unsigned,36.054822775323245,30.503832163450916,0.024507780234833163,226.49911818544254,0.0
count_ones,2,128,0,W6_pc23,1.1594636255395288,1.1851335988334946,0.004211969203101522,-6.09453014876355,1.0
count_ones,2,128,0,W7_absturn_fixedpt,10.775161214445404,1.0060067863923476,0.30628295790430177,31.895847209055074,0.0
count_ones,2,128,0,W8_absturn_centroid,1.694895227491507,0.7132380491503315,0.002684221305375163,365.7139507742537,0.0
count_ones,2,128,0,W9_windowed_maxnet,2.6290994710415876,0.38326719531495246,0.21213126180291084,10.586993433401707,0.0
count_ones,2,128,1,W1_centroid,0.6186761436339582,0.713292036467787,0.0031537673839908266,-30.000910439406105,1.0
count_ones,2,128,1,W2_fixedpoint,3.059763616298847,0.369892085592314,0.3241017178881501,8.299467056928181,0.0
count_ones,2,128,1,W3_sphere,1.1010995322710762,0.9343194716600592,0.004011673630140835,41.573686193700134,0.0
count_ones,2,128,1,W4_turn2d_signed,8.404540817313347,0.4601870568290799,0.38874781208040177,20.435751697147037,0.0
count_ones,2,128,1,W5_turnfull_unsigned,36.26284166355914,30.499320297847138,0.027615011989088337,208.7097180326909,0.0
count_ones,2,128,1,W6_pc23,0.12329969955957176,1.1866502233520542,0.0039349502503934946,-270.23226626210777,1.0
count_ones,2,128,1,W7_absturn_fixedpt,12.28497172047499,1.0644665794664228,0.28229787258432215,39.74704108922044,0.0
count_ones,2,128,1,W8_absturn_centroid,1.6895431591113772,0.716582065906133,0.0025785873554404464,377.3233011293711,0.0
count_ones,2,128,1,W9_windowed_maxnet,2.670263428033821,0.43278016087284465,0.21524389208960035,10.395106896829255,0.0
count_ones,2,128,2,W1_centroid,0.6186761436339582,0.7134119648647096,0.0029739980023451205,-31.85470237574077,1.0
count_ones,2,128,2,W2_fixedpoint,3.0597636162988477,0.3939851865874369,0.3378497194536108,7.890426648933303,0.0
count_ones,2,128,2,W3_sphere,1.101099518903532,0.9335833903681465,0.004115111463250671,40.70755556231242,0.0
count_ones,2,128,2,W4_turn2d_signed,8.404540817313356,0.4778027524253739,0.34415934546942445,23.032174396066786,0.0
count_ones,2,128,2,W5_turnfull_unsigned,36.26284166355914,30.49932919468632,0.023096296145921617,249.54271596013254,0.0
count_ones,2,128,2,W6_pc23,0.12329969955956964,1.1866577533395728,0.004156400161680109,-255.83630363207627,1.0
count_ones,2,128,2,W7_absturn_fixedpt,12.284971720475019,1.08165773373591,0.27566259487074823,40.64140073843563,0.0
count_ones,2,128,2,W8_absturn_centroid,1.6895431591113865,0.7162216521381306,0.002812384424117807,346.08409100351525,0.0
count_ones,2,128,2,W9_windowed_maxnet,2.670263428033849,0.44424906277359943,0.23662637291662492,9.407296142956069,0.0
count_ones,2,128,3,W1_centroid,0.6186761436339592,0.7129252198578426,0.003111401265990682,-30.29152081863481,1.0
