source,file,task,n_ops,num_steps,n_steps,regime_end,frac_signal,floor,cos_legacy,cos_regime,conv_rate_legacy,conv_rate_regime,dlr_legacy,dlr_regime,settle_legacy
"trajectories/ (convergence.csv, homology.csv)",track_n48_ns16_init2.npy,track,48,16,15,8,0.5333333333333333,6.448757426268497,0.35181903280011,0.030612588076900486,-0.17097915685360984,-0.18375682003261135,3.334862907289737,2.1512434163096055,13
"trajectories/ (convergence.csv, homology.csv)",track_n24_ns16_init0.npy,track,24,16,15,7,0.4666666666666667,6.4915093622549405,0.2950313050869641,0.026565830372046503,-0.1778083299710726,-0.22162541888795187,3.490690321054888,2.0293218672878144,13
"trajectories/ (convergence.csv, homology.csv)",track_n24_ns16_init1.npy,track,24,16,15,8,0.5333333333333333,5.761217238312166,0.21371854330094558,-0.054566663581146146,-0.1816069973611532,-0.206846659138503,3.4630171681208655,2.1406012282335984,12
"trajectories/ (convergence.csv, homology.csv)",track_n24_ns16_init2.npy,track,24,16,15,8,0.5333333333333333,6.212804849946592,0.25772271003830743,-0.07217101847813448,-0.17640185552965587,-0.19541788456908454,3.198215394083213,2.0338341202592183,13
results/trajectories/ (no matching CSV),count_ones_n16_ns128_init0.npy,count_ones,16,128,127,21,0.16535433070866143,1.0036876243060944,-0.2996381489061698,0.24945321350994315,-0.023564252966721013,-0.14268625997423814,20.753993108644625,4.314644433120731,14
results/trajectories/ (no matching CSV),count_ones_n16_ns128_init1.npy,count_ones,16,128,127,20,0.15748031496062992,1.0823192047588819,-0.3559868187907955,0.1588146760198847,-0.02215569107602274,-0.15021724952107457,19.607302427048605,3.9060145193429037,15
results/trajectories/ (no matching CSV),count_ones_n16_ns128_init2.npy,count_ones,16,128,127,20,0.15748031496062992,1.031470191906095,-0.3118770715528499,0.11926163206057695,-0.020438585601273106,-0.16356001295224176,21.251306217995857,4.231436343284837,15
results/trajectories/ (no matching CSV),count_ones_n16_ns128_init3.npy,count_ones,16,128,127,19,0.14960629921259844,1.0697196196997159,-0.3322126355678634,0.09500921277568422,-0.021466710917352097,-0.16369941210162398,20.451215234440973,3.8966701608246153,14
results/trajectories/ (no matching CSV),count_ones_n16_ns128_init4.npy,count_ones,16,128,127,19,0.14960629921259844,1.1547767064794017,-0.3558123179228212,0.14967846576428206,-0.020729955690127137,-0.14974293212761475,19.300949188259022,3.688884088659999,16
results/trajectories/ (no matching CSV),count_ones_n16_ns64_init0.npy,count_ones,16,64,63,20,0.31746031746031744,1.1064880145455085,-0.32470247464782187,0.4153341930277686,-0.07583317478032275,-0.14257100356593502,12.2127370607871,4.4167359108855555,16
results/trajectories/ (no matching CSV),count_ones_n16_ns64_init1.npy,count_ones,16,64,63,21,0.3333333333333333,1.029520398107265,-0.33907972216682397,0.4374876670301033,-0.08013701462448856,-0.12863783176330676,12.238231310787608,4.577755332367586,17
results/trajectories/ (no matching CSV),count_ones_n16_ns64_init2.npy,count_ones,16,64,63,21,0.3333333333333333,1.0667187309931725,-0.3134859747631949,0.44605067889821914,-0.07899582159299649,-0.12078308328924087,11.994521092653931,4.506789448964127,17
results/trajectories/ (no matching CSV),count_ones_n16_ns64_init3.npy,count_ones,16,64,63,22,0.3492063492063492,1.1029488610340032,-0.38626274989398063,0.46517917171350753,-0.08219845246941232,-0.11928820192277485,12.00016767141992,4.69903696181492,17
results/trajectories/ (no matching CSV),count_ones_n16_ns64_init4.npy,count_ones,16,64,63,21,0.3333333333333333,1.0454633548954424,-0.27557996763511067,0.44935748655492463,-0.07728508208309132,-0.12756801133880052,12.100405430551548,4.56572920056171,17
results/trajectories/ (no matching CSV),count_ones_n24_ns128_init0.npy,count_ones,24,128,127,19,0.14960629921259844,0.9351549046124639,-0.30691212135262325,0.15023425725004905,-0.023653891602094797,-0.17715286058793206,20.924410445783394,3.9034703934709283,13
