bank,tag,family,window,rank,rank_requested,rank_clamped,r2_linear,r2_scalar,r2_scalar_in_basis,r2_persistence,in_basis,rho,n_train,n_test,achieved
ds_bank,trained_track_n8_ns128_seed1,track,80,32,32,False,0.7184521309458669,0.6034125428379873,0.48184030441575976,0.7596808821575856,0.7521836772513357,0.4666738174028994,47,32,0.9551551737619032
ds_bank,trained_local_n8_ns128_seed1,local,110,2,2,False,0.8055776699226339,0.931618132785623,0.7532048501962638,0.9998353924596138,0.8079111363977315,0.7387333428548364,65,44,0.997111728790493
ds_bank,trained_local_n8_ns128_seed1,local,110,4,4,False,0.8867805524491347,0.931618132785623,0.8393467132242396,0.9998353924596138,0.9005194353644348,0.7387333428548364,65,44,0.9847433799030222
ds_bank,trained_local_n8_ns128_seed1,local,110,8,8,False,0.9545861147891371,0.931618132785623,0.8947465229112448,0.9998353924596138,0.9601492960932768,0.7387333428548364,65,44,0.9942059205513397
ds_bank,trained_local_n8_ns128_seed1,local,110,16,16,False,0.966957220965195,0.931618132785623,0.9028062102059464,0.9998353924596138,0.9688273744197331,0.7387333428548364,65,44,0.9980696731905844
ds_bank,trained_local_n8_ns128_seed1,local,110,32,32,False,0.9866815947783624,0.931618132785623,0.9208239696307473,0.9998353924596138,0.9882530766236294,0.7387333428548364,65,44,0.9984098386512127
ds_bank,trained_count_ones_n8_ns128_seed1,count_ones,94,2,2,False,0.42461998272490253,0.3086116597053097,0.1430850982592311,0.11402968772341526,0.4379876160965286,0.5976827252544338,55,38,0.9694794261747347
ds_bank,trained_count_ones_n8_ns128_seed1,count_ones,94,4,4,False,0.5374257957560704,0.3086116597053097,0.20585027895107488,0.11402968772341526,0.5453505800602317,0.5976827252544338,55,38,0.9854684590171591
ds_bank,trained_count_ones_n8_ns128_seed1,count_ones,94,8,8,False,0.626147019278126,0.3086116597053097,0.2552234090619465,0.11402968772341526,0.6929532916622024,0.5976827252544338,55,38,0.9035919546268021
ds_bank,trained_count_ones_n8_ns128_seed1,count_ones,94,16,16,False,0.8027964156881441,0.3086116597053097,0.2978229712236158,0.11402968772341526,0.8177274176547434,0.5976827252544338,55,38,0.9817408568622761
ds_bank,trained_count_ones_n8_ns128_seed1,count_ones,94,32,32,False,0.868198297241693,0.3086116597053097,0.3112980778116319,0.11402968772341526,0.8795998321983008,0.5976827252544338,55,38,0.9870378159030418
ds_bank,trained_track_n16_ns128_seed0,track,91,2,2,False,0.921162756370192,0.8885791986081816,0.8193396706028289,0.999912764209527,0.9215509165728419,0.6662895310334199,54,36,0.9995787967917242
ds_bank,trained_track_n16_ns128_seed0,track,91,4,4,False,0.9261821178734051,0.8885791986081816,0.8242441062389324,0.999912764209527,0.9271137775168342,0.6662895310334199,54,36,0.9989950967550881
ds_bank,trained_track_n16_ns128_seed0,track,91,8,8,False,0.9297855621191217,0.8885791986081816,0.8323299798534088,0.999912764209527,0.9362649771574904,0.6662895310334199,54,36,0.9930795071945976
ds_bank,trained_track_n16_ns128_seed0,track,91,16,16,False,0.963534799064003,0.8885791986081816,0.8577147604729541,0.999912764209527,0.9649626534065014,0.6662895310334199,54,36,0.9985203009282713
ds_bank,trained_track_n16_ns128_seed0,track,91,32,32,False,0.9945675186148468,0.8885791986081816,0.8844467772969935,0.999912764209527,0.9952666098660327,0.6662895310334199,54,36,0.9992975839395638
ds_bank,trained_local_n16_ns128_seed0,local,107,2,2,False,0.9588377848778835,0.4510028545800967,0.45002757075734,0.35036125497038473,0.9606154788103081,0.6054237271010623,63,43,0.9981494219366253
ds_bank,trained_local_n16_ns128_seed0,local,107,4,4,False,0.971398989829294,0.4510028545800967,0.45626823744835,0.35036125497038473,0.9728005473159824,0.6054237271010623,63,43,0.9985592550389127
ds_bank,trained_local_n16_ns128_seed0,local,107,8,8,False,0.9739114973649867,0.4510028545800967,0.457441275391372,0.35036125497038473,0.9758396420350078,0.6054237271010623,63,43,0.9980241172965671
ds_bank,trained_local_n16_ns128_seed0,local,107,16,16,False,0.9767159636763035,0.4510028545800967,0.4578441249882421,0.35036125497038473,0.9787210836114177,0.6054237271010623,63,43,0.9979512856433873
ds_bank,trained_local_n16_ns128_seed0,local,107,32,32,False,0.9846535627947097,0.4510028545800967,0.4594365728423949,0.35036125497038473,0.9864458489173918,0.6054237271010623,63,43,0.9981830871662655
ds_bank,trained_count_ones_n16_ns128_seed0,count_ones,105,2,2,False,0.8445078439070646,0.2710356562194197,0.26825318697685796,0.042272449153796465,0.845552758865738,0.5445308467547321,62,42,0.9987642226369469
ds_bank,trained_count_ones_n16_ns128_seed0,count_ones,105,4,4,False,0.8465734219115117,0.2710356562194197,0.27057399039153485,0.042272449153796465,0.8532645012715451,0.5445308467547321,62,42,0.9921582588399468
ds_bank,trained_count_ones_n16_ns128_seed0,count_ones,105,8,8,False,0.8715028198435802,0.2710356562194197,0.2782116088139439,0.042272449153796465,0.8798175334018167,0.5445308467547321,62,42,0.9905495023200008
ds_bank,trained_count_ones_n16_ns128_seed0,count_ones,105,16,16,False,0.9011691852263047,0.2710356562194197,0.28519335346919883,0.042272449153796465,0.9070126798224568,0.5445308467547321,62,42,0.993557427888113
ds_bank,trained_count_ones_n16_ns128_seed0,count_ones,105,32,32,False,0.9374122212702408,0.2710356562194197,0.2901492344712603,0.042272449153796465,0.9441275601721404,0.5445308467547321,62,42,0.9928872546622035
ds_bank,trained_track_n16_ns128_seed1,track,88,2,2,False,0.09726577886929277,0.6350793639668488,0.06535694700662587,0.763238665999988,0.12352453781700434,0.5045606050112289,52,35,0.7874207067537249
ds_bank,trained_track_n16_ns128_seed1,track,88,4,4,False,0.1489709474596479,0.6350793639668488,0.10976820903573903,0.763238665999988,0.20195065031475945,0.5045606050112289,52,35,0.7376601522573084
ds_bank,trained_track_n16_ns128_seed1,track,88,8,8,False,0.5074722995272656,0.6350793639668488,0.42157079659428864,0.763238665999988,0.6233461290132207,0.5045606050112289,52,35,0.8141099718235395
ds_bank,trained_track_n16_ns128_seed1,track,88,16,16,False,0.6712216180861181,0.6350793639668488,0.4827361686240734,0.763238665999988,0.7088028801521976,0.5045606050112289,52,35,0.9469792475194093
ds_bank,trained_track_n16_ns128_seed1,track,88,32,32,False,0.7337627606522479,0.6350793639668488,0.5222091563585773,0.763238665999988,0.7698659615261442,0.5045606050112289,52,35,0.9531045627704762
ds_bank,trained_local_n16_ns128_seed1,local,95,2,2,False,0.8662467332121656,0.8243591623243434,0.7816850405196155,0.8929711914194122,0.886558592243437,0.6791359733766759,56,38,0.9770890957360503
ds_bank,trained_local_n16_ns128_seed1,local,95,4,4,False,0.931926907502164,0.8243591623243434,0.8119833245594658,0.8929711914194122,0.9350343240072749,0.6791359733766759,56,38,0.9966766818871489
ds_bank,trained_local_n16_ns128_seed1,local,95,8,8,False,0.9401188755591205,0.8243591623243434,0.8196971381690157,0.8929711914194122,0.9447081540596977,0.6791359733766759,56,38,0.9951421203671678
ds_bank,trained_local_n16_ns128_seed1,local,95,16,16,False,0.9489433484061798,0.8243591623243434,0.8256242294325115,0.8929711914194122,0.9539897728512245,0.6791359733766759,56,38,0.9947101902046996
ds_bank,trained_local_n16_ns128_seed1,local,95,32,32,False,0.9641074353565819,0.8243591623243434,0.8340762608143637,0.8929711914194122,0.9687249572813482,0.6791359733766759,56,38,0.9952334025359221
ds_bank,trained_count_ones_n16_ns128_seed1,count_ones,107,2,2,False,0.8406364147534658,0.28902599574666443,0.2597368700486258,0.0784342053523801,0.8417087506450964,0.5807994074684978,63,43,0.998726001255412
ds_bank,trained_count_ones_n16_ns128_seed1,count_ones,107,4,4,False,0.8463230287362551,0.28902599574666443,0.26306354469648563,0.0784342053523801,0.8527035116665572,0.5807994074684978,63,43,0.9925173488287484
ds_bank,trained_count_ones_n16_ns128_seed1,count_ones,107,8,8,False,0.9062074065166348,0.28902599574666443,0.2791226470156669,0.0784342053523801,0.9085659316668169,0.5807994074684978,63,43,0.9974041232804589
ds_bank,trained_count_ones_n16_ns128_seed1,count_ones,107,16,16,False,0.9513290991952332,0.28902599574666443,0.2925843955168965,0.0784342053523801,0.9546454193691158,0.5807994074684978,63,43,0.9965261236197266
ds_bank,trained_count_ones_n16_ns128_seed1,count_ones,107,32,32,False,0.9717094310621527,0.28902599574666443,0.2967927365371891,0.0784342053523801,0.9742680723323713,0.5807994074684978,63,43,0.9973737810538189
ds_bank,trained_track_n32_ns128_seed0,track,64,2,2,False,0.4548667913422991,-0.11774738859836709,0.36073399645348736,-0.7062828660035554,0.47698020751965686,0.5201075821330763,37,26,0.9536387132448333
ds_bank,trained_track_n32_ns128_seed0,track,64,4,4,False,0.46804623682491153,-0.11774738859836709,0.36796582992212046,-0.7062828660035554,0.4925714121796354,0.5201075821330763,37,26,0.9502099091658616
ds_bank,trained_track_n32_ns128_seed0,track,64,8,8,False,0.4683708609006486,-0.11774738859836709,0.35125640173629447,-0.7062828660035554,0.5230490013346021,0.5201075821330763,37,26,0.8954626807537387
ds_bank,trained_track_n32_ns128_seed0,track,64,16,16,False,0.5432847193282795,-0.11774738859836709,0.2741925948754175,-0.7062828660035554,0.6046580147197324,0.5201075821330763,37,26,0.8984991616791844
ds_bank,trained_track_n32_ns128_seed0,track,64,32,32,False,0.9101579426268307,-0.11774738859836709,-0.08496711868628348,-0.7062828660035554,0.9252644599162938,0.5201075821330763,37,26,0.9836732978041437
ds_bank,trained_local_n32_ns128_seed0,local,68,2,2,False,0.1949101171277433,-0.42281247446563186,0.10721370676224751,-1.3114584346174691,0.22145051923297865,0.5128992771403301,40,27,0.8801519987527628
ds_bank,trained_local_n32_ns128_seed0,local,68,4,4,False,0.38763766062004723,-0.42281247446563186,0.18192871224782858,-1.3114584346174691,0.39589370562467385,0.5128992771403301,40,27,0.9791458038172152
ds_bank,trained_local_n32_ns128_seed0,local,68,8,8,False,0.3906233154102333,-0.42281247446563186,0.17211209819809714,-1.3114584346174691,0.42374116314659727,0.5128992771403301,40,27,0.9218441571962492
ds_bank,trained_local_n32_ns128_seed0,local,68,16,16,False,0.4205673500139506,-0.42281247446563186,0.1454441772985886,-1.3114584346174691,0.4694494196739798,0.5128992771403301,40,27,0.8958736178777759
ds_bank,trained_local_n32_ns128_seed0,local,68,32,32,False,0.9507901822128245,-0.42281247446563186,-0.4230017303632436,-1.3114584346174691,0.9647645371836538,0.5128992771403301,40,27,0.9855152688223561
ds_bank,trained_count_ones_n32_ns128_seed0,count_ones,108,2,2,False,0.9171511877859277,0.30594013916449303,0.2896057953367538,0.10627922026971992,0.9179287605048935,0.5579654919871051,64,43,0.9991529051573261
ds_bank,trained_count_ones_n32_ns128_seed0,count_ones,108,4,4,False,0.9215219373954525,0.30594013916449303,0.2944438689711054,0.10627922026971992,0.9350382348390989,0.5579654919871051,64,43,0.9855446580256986
ds_bank,trained_count_ones_n32_ns128_seed0,count_ones,108,8,8,False,0.9516534210293588,0.30594013916449303,0.29958780754330916,0.10627922026971992,0.954402085208049,0.5579654919871051,64,43,0.9971200144872996
ds_bank,trained_count_ones_n32_ns128_seed0,count_ones,108,16,16,False,0.9581137291222955,0.30594013916449303,0.3016763143968476,0.10627922026971992,0.9625934508810362,0.5579654919871051,64,43,0.9953461954736545
ds_bank,trained_count_ones_n32_ns128_seed0,count_ones,108,32,32,False,0.9768734133494333,0.30594013916449303,0.3060317088231973,0.10627922026971992,0.9797193000011618,0.5579654919871051,64,43,0.9970952020117139
ds_bank,trained_track_n32_ns128_seed1,track,105,2,2,False,0.9860843297993389,0.8961672975592821,0.8870170811211497,0.9961862078052899,0.9868922287027094,0.6818296907503586,62,42,0.9991813706908681
ds_bank,trained_track_n32_ns128_seed1,track,105,4,4,False,0.9878794230499491,0.8961672975592821,0.8881750407979702,0.9961862078052899,0.9882295463917409,0.6818296907503586,62,42,0.9996457064625621
ds_bank,trained_track_n32_ns128_seed1,track,105,8,8,False,0.9882567376352539,0.8961672975592821,0.8886695708491263,0.9961862078052899,0.9888432018938828,0.6818296907503586,62,42,0.9994069188547733
ds_bank,trained_track_n32_ns128_seed1,track,105,16,16,False,0.9890445771747087,0.8961672975592821,0.8893341024719678,0.9961862078052899,0.9896770092786289,0.6818296907503586,62,42,0.9993609712077871
ds_bank,trained_track_n32_ns128_seed1,track,105,32,32,False,0.9949329111815491,0.8961672975592821,0.8940981648106368,0.9961862078052899,0.9952151604428491,0.6818296907503586,62,42,0.9997163937281921
ds_bank,trained_local_n32_ns128_seed1,local,107,2,2,False,0.8527720860692256,0.790791453513737,0.7574267639947593,0.8605846230238603,0.8746445358404131,0.6570665232991901,63,43,0.9749927554853228
ds_bank,trained_local_n32_ns128_seed1,local,107,4,4,False,0.9172615542150646,0.790791453513737,0.7820446779844384,0.8605846230238603,0.9212072388161797,0.6570665232991901,63,43,0.9957168328310299
ds_bank,trained_local_n32_ns128_seed1,local,107,8,8,False,0.9184868706764607,0.790791453513737,0.7843821034552213,0.8605846230238603,0.9269699428459193,0.6570665232991901,63,43,0.9908486006100539
ds_bank,trained_local_n32_ns128_seed1,local,107,16,16,False,0.93192099737494,0.790791453513737,0.7905116983723267,0.8605846230238603,0.9404262439507888,0.6570665232991901,63,43,0.9909559663710387
